order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
98,1194,Completed,28-02-2016,29-02-2016,29-02-2016,2,6
99,1165,Completed,29-02-2016,01-03-2016,03-03-2016,3,9
100,1237,Completed,01-03-2016,04-03-2016,03-03-2016,2,7
101,271,Completed,01-03-2016,04-03-2016,04-03-2016,3,8
102,336,Completed,02-03-2016,05-03-2016,03-03-2016,2,7
103,991,Completed,03-03-2016,06-03-2016,05-03-2016,1,2
104,7,Completed,03-03-2016,05-03-2016,05-03-2016,2,7
105,306,Completed,03-03-2016,05-03-2016,04-03-2016,2,7
106,422,Completed,04-03-2016,05-03-2016,05-03-2016,3,9
107,633,Completed,06-03-2016,09-03-2016,09-03-2016,1,2
108,12,Completed,06-03-2016,09-03-2016,07-03-2016,2,6
109,1255,Completed,06-03-2016,09-03-2016,09-03-2016,2,6
110,677,Completed,06-03-2016,08-03-2016,09-03-2016,3,9
111,630,Completed,07-03-2016,10-03-2016,10-03-2016,2,6
112,469,Completed,08-03-2016,11-03-2016,10-03-2016,2,6
113,1078,Completed,08-03-2016,11-03-2016,11-03-2016,2,6
114,1431,Completed,08-03-2016,10-03-2016,11-03-2016,2,7
115,1369,Completed,09-03-2016,11-03-2016,11-03-2016,2,7
116,471,Completed,10-03-2016,11-03-2016,11-03-2016,2,7
117,740,Completed,10-03-2016,13-03-2016,11-03-2016,2,6
118,577,Completed,12-03-2016,14-03-2016,13-03-2016,1,2
119,925,Completed,12-03-2016,14-03-2016,14-03-2016,2,7
120,327,Completed,14-03-2016,15-03-2016,17-03-2016,2,7
121,755,Completed,14-03-2016,15-03-2016,16-03-2016,2,6
122,786,Completed,14-03-2016,16-03-2016,15-03-2016,2,6
123,766,Completed,15-03-2016,18-03-2016,17-03-2016,2,6
124,403,Completed,16-03-2016,18-03-2016,17-03-2016,1,3
125,685,Completed,16-03-2016,19-03-2016,17-03-2016,2,6
126,1365,Completed,16-03-2016,18-03-2016,18-03-2016,2,7
127,484,Completed,17-03-2016,18-03-2016,19-03-2016,3,8
128,86,Completed,18-03-2016,20-03-2016,21-03-2016,2,6
129,84,Completed,19-03-2016,21-03-2016,21-03-2016,2,7
130,1049,Completed,19-03-2016,22-03-2016,20-03-2016,2,6
131,316,Completed,19-03-2016,22-03-2016,20-03-2016,3,8
132,46,Completed,20-03-2016,22-03-2016,23-03-2016,1,3
133,409,Completed,20-03-2016,22-03-2016,21-03-2016,2,7
134,679,Completed,20-03-2016,21-03-2016,21-03-2016,2,7
135,1354,Completed,21-03-2016,23-03-2016,23-03-2016,2,7
136,1192,Completed,21-03-2016,24-03-2016,23-03-2016,3,8
137,370,Completed,23-03-2016,26-03-2016,25-03-2016,2,7
138,438,Completed,23-03-2016,24-03-2016,25-03-2016,2,7
139,710,Completed,23-03-2016,24-03-2016,26-03-2016,2,7
140,1264,Completed,23-03-2016,26-03-2016,26-03-2016,2,7
141,557,Completed,25-03-2016,27-03-2016,26-03-2016,2,7
142,170,Completed,26-03-2016,27-03-2016,27-03-2016,1,3
143,693,Completed,26-03-2016,28-03-2016,28-03-2016,2,7
144,1124,Completed,26-03-2016,29-03-2016,29-03-2016,2,7
145,366,Completed,27-03-2016,29-03-2016,30-03-2016,2,6
146,288,Completed,28-03-2016,30-03-2016,30-03-2016,1,3
147,55,Completed,28-03-2016,31-03-2016,31-03-2016,2,7
148,714,Completed,28-03-2016,30-03-2016,30-03-2016,2,6
149,763,Completed,28-03-2016,30-03-2016,29-03-2016,2,6
150,332,Completed,29-03-2016,31-03-2016,01-04-2016,1,2
151,926,Completed,29-03-2016,01-04-2016,31-03-2016,1,2
152,76,Completed,29-03-2016,30-03-2016,30-03-2016,2,6
153,498,Completed,30-03-2016,02-04-2016,01-04-2016,2,6
154,1286,Completed,31-03-2016,01-04-2016,01-04-2016,1,2
155,371,Completed,02-04-2016,03-04-2016,04-04-2016,2,6
156,357,Completed,03-04-2016,06-04-2016,05-04-2016,1,3
157,43,Completed,03-04-2016,06-04-2016,06-04-2016,3,8
158,117,Rejected,04-04-2016,04-04-2016,Pending,3,9
159,32,Completed,04-04-2016,06-04-2016,06-04-2016,1,2
160,205,Completed,04-04-2016,06-04-2016,06-04-2016,2,7
161,251,Completed,04-04-2016,07-04-2016,05-04-2016,2,7
162,31,Completed,06-04-2016,08-04-2016,07-04-2016,1,3
163,1325,Completed,06-04-2016,07-04-2016,07-04-2016,2,7
164,610,Completed,07-04-2016,08-04-2016,09-04-2016,2,7
165,574,Completed,08-04-2016,10-04-2016,10-04-2016,1,3
166,338,Completed,08-04-2016,11-04-2016,11-04-2016,2,6
167,1034,Completed,08-04-2016,09-04-2016,11-04-2016,2,7
168,1147,Completed,09-04-2016,12-04-2016,11-04-2016,1,3
169,99,Completed,10-04-2016,11-04-2016,11-04-2016,2,7
170,1200,Completed,10-04-2016,11-04-2016,13-04-2016,2,7
171,237,Completed,11-04-2016,14-04-2016,14-04-2016,1,3
172,1079,Completed,11-04-2016,12-04-2016,14-04-2016,2,7
173,117,Completed,11-04-2016,14-04-2016,13-04-2016,3,8
174,1361,Completed,12-04-2016,13-04-2016,15-04-2016,2,7
175,951,Completed,13-04-2016,14-04-2016,14-04-2016,2,6
176,643,Completed,15-04-2016,16-04-2016,17-04-2016,2,7
177,121,Completed,16-04-2016,19-04-2016,19-04-2016,1,2
178,756,Completed,16-04-2016,17-04-2016,18-04-2016,2,6
179,616,Completed,17-04-2016,19-04-2016,19-04-2016,2,6
180,918,Completed,17-04-2016,20-04-2016,19-04-2016,2,7
181,459,Completed,18-04-2016,20-04-2016,20-04-2016,1,3
182,854,Completed,18-04-2016,19-04-2016,20-04-2016,2,6
183,22,Completed,19-04-2016,20-04-2016,20-04-2016,2,7
184,134,Completed,19-04-2016,21-04-2016,22-04-2016,2,7
185,24,Rejected,20-04-2016,20-04-2016,Pending,1,2
186,1127,Completed,21-04-2016,22-04-2016,24-04-2016,2,6
187,183,Completed,22-04-2016,23-04-2016,24-04-2016,2,6
188,390,Completed,22-04-2016,23-04-2016,25-04-2016,2,6
189,1288,Completed,23-04-2016,24-04-2016,26-04-2016,1,2
190,98,Completed,23-04-2016,25-04-2016,25-04-2016,2,6
191,919,Completed,27-04-2016,28-04-2016,28-04-2016,1,2
192,728,Completed,27-04-2016,28-04-2016,29-04-2016,2,7
193,1366,Completed,28-04-2016,30-04-2016,30-04-2016,1,3
194,558,Completed,28-04-2016,30-04-2016,01-05-2016,2,7
195,727,Completed,28-04-2016,01-05-2016,01-05-2016,2,7
196,1247,Completed,28-04-2016,30-04-2016,01-05-2016,2,6
197,127,Completed,30-04-2016,03-05-2016,03-05-2016,2,7
198,640,Completed,01-05-2016,04-05-2016,03-05-2016,2,6
199,760,Completed,01-05-2016,04-05-2016,04-05-2016,2,7
200,1074,Completed,01-05-2016,03-05-2016,03-05-2016,2,6
201,280,Completed,01-05-2016,04-05-2016,02-05-2016,3,9
202,600,Completed,03-05-2016,05-05-2016,04-05-2016,1,2
203,1102,Completed,03-05-2016,05-05-2016,06-05-2016,3,9
204,591,Completed,04-05-2016,07-05-2016,06-05-2016,2,7
205,635,Completed,04-05-2016,05-05-2016,06-05-2016,2,6
206,743,Completed,04-05-2016,06-05-2016,05-05-2016,3,9
207,105,Completed,05-05-2016,07-05-2016,07-05-2016,2,7
208,815,Completed,06-05-2016,07-05-2016,09-05-2016,2,7
209,514,Completed,07-05-2016,08-05-2016,08-05-2016,2,6
210,943,Completed,07-05-2016,08-05-2016,09-05-2016,2,6
211,1140,Completed,07-05-2016,09-05-2016,08-05-2016,2,6
212,1373,Completed,08-05-2016,09-05-2016,11-05-2016,2,6
213,788,Completed,08-05-2016,09-05-2016,09-05-2016,3,8
214,363,Completed,10-05-2016,12-05-2016,11-05-2016,2,6
215,1420,Completed,10-05-2016,13-05-2016,12-05-2016,2,7
216,267,Completed,11-05-2016,14-05-2016,13-05-2016,1,3
217,716,Completed,11-05-2016,12-05-2016,14-05-2016,2,7
218,1179,Completed,12-05-2016,14-05-2016,14-05-2016,2,7
219,1338,Completed,12-05-2016,15-05-2016,15-05-2016,2,6
220,1358,Completed,12-05-2016,14-05-2016,15-05-2016,2,6
221,1218,Completed,13-05-2016,16-05-2016,14-05-2016,1,2
222,51,Completed,13-05-2016,16-05-2016,14-05-2016,2,6
223,1368,Completed,15-05-2016,16-05-2016,17-05-2016,2,7
224,157,Completed,17-05-2016,18-05-2016,19-05-2016,1,3
225,307,Completed,17-05-2016,20-05-2016,19-05-2016,1,3
226,501,Completed,17-05-2016,19-05-2016,20-05-2016,1,2
227,489,Completed,17-05-2016,18-05-2016,20-05-2016,2,7
228,615,Completed,17-05-2016,20-05-2016,20-05-2016,2,7
229,742,Completed,19-05-2016,21-05-2016,20-05-2016,2,6
230,1167,Completed,19-05-2016,20-05-2016,21-05-2016,2,6
231,1257,Completed,19-05-2016,22-05-2016,21-05-2016,2,6
232,1360,Completed,20-05-2016,23-05-2016,23-05-2016,1,3
233,737,Completed,21-05-2016,22-05-2016,24-05-2016,2,6
234,1435,Completed,22-05-2016,24-05-2016,24-05-2016,2,6
235,649,Completed,24-05-2016,25-05-2016,25-05-2016,2,6
236,206,Completed,25-05-2016,27-05-2016,26-05-2016,2,6
237,1351,Completed,25-05-2016,26-05-2016,27-05-2016,2,7
238,1350,Completed,26-05-2016,29-05-2016,29-05-2016,2,6
239,13,Rejected,27-05-2016,27-05-2016,Pending,3,9
240,65,Completed,27-05-2016,29-05-2016,30-05-2016,2,6
241,1082,Completed,27-05-2016,29-05-2016,29-05-2016,2,7
242,1168,Completed,27-05-2016,30-05-2016,30-05-2016,2,7
243,802,Completed,27-05-2016,30-05-2016,28-05-2016,3,8
244,956,Completed,28-05-2016,29-05-2016,29-05-2016,2,6
245,223,Completed,29-05-2016,31-05-2016,30-05-2016,2,7
246,17,Rejected,30-05-2016,30-05-2016,Pending,2,6
247,928,Completed,30-05-2016,01-06-2016,01-06-2016,1,3
248,1376,Completed,30-05-2016,01-06-2016,31-05-2016,2,7
249,145,Completed,01-06-2016,04-06-2016,04-06-2016,2,6
250,150,Completed,01-06-2016,02-06-2016,04-06-2016,2,7
251,851,Completed,01-06-2016,04-06-2016,04-06-2016,2,7
252,66,Completed,01-06-2016,04-06-2016,02-06-2016,3,8
253,1267,Completed,02-06-2016,05-06-2016,05-06-2016,2,6
254,510,Completed,03-06-2016,06-06-2016,05-06-2016,2,7
255,801,Completed,03-06-2016,06-06-2016,05-06-2016,2,7
256,26,Completed,04-06-2016,05-06-2016,07-06-2016,2,7
257,1314,Completed,05-06-2016,06-06-2016,08-06-2016,1,3
258,107,Completed,06-06-2016,07-06-2016,07-06-2016,2,7
259,413,Completed,06-06-2016,09-06-2016,09-06-2016,2,7
260,632,Completed,06-06-2016,08-06-2016,08-06-2016,2,6
261,1045,Completed,08-06-2016,10-06-2016,09-06-2016,1,2
262,579,Completed,08-06-2016,11-06-2016,10-06-2016,3,9
263,1322,Completed,09-06-2016,10-06-2016,12-06-2016,2,6
264,5,Rejected,10-06-2016,10-06-2016,Pending,1,3
265,682,Completed,10-06-2016,12-06-2016,11-06-2016,2,7
266,933,Completed,10-06-2016,13-06-2016,13-06-2016,2,7
267,282,Completed,11-06-2016,14-06-2016,14-06-2016,1,3
268,540,Completed,11-06-2016,14-06-2016,12-06-2016,1,3
269,764,Completed,12-06-2016,13-06-2016,15-06-2016,2,6
270,879,Completed,12-06-2016,15-06-2016,13-06-2016,2,7
271,350,Completed,13-06-2016,16-06-2016,14-06-2016,2,7
272,497,Completed,15-06-2016,18-06-2016,16-06-2016,2,7
273,1340,Completed,16-06-2016,19-06-2016,17-06-2016,2,7
274,411,Completed,17-06-2016,20-06-2016,18-06-2016,2,7
275,1341,Completed,17-06-2016,19-06-2016,18-06-2016,2,7
276,1227,Completed,18-06-2016,19-06-2016,19-06-2016,2,6
277,546,Completed,19-06-2016,20-06-2016,20-06-2016,2,7
278,1301,Completed,20-06-2016,23-06-2016,21-06-2016,1,3
279,378,Completed,21-06-2016,22-06-2016,22-06-2016,2,6
280,638,Completed,21-06-2016,22-06-2016,23-06-2016,2,7
281,800,Completed,21-06-2016,22-06-2016,23-06-2016,2,7
282,159,Completed,22-06-2016,25-06-2016,25-06-2016,3,9
283,181,Completed,23-06-2016,26-06-2016,26-06-2016,1,2
284,1356,Completed,23-06-2016,25-06-2016,25-06-2016,2,7
285,319,Completed,25-06-2016,26-06-2016,27-06-2016,1,2
286,59,Completed,25-06-2016,26-06-2016,26-06-2016,2,6
287,133,Completed,25-06-2016,26-06-2016,27-06-2016,2,6
288,780,Completed,25-06-2016,28-06-2016,28-06-2016,2,6
289,849,Completed,27-06-2016,28-06-2016,30-06-2016,2,6
290,202,Completed,28-06-2016,29-06-2016,30-06-2016,2,6
291,158,Completed,29-06-2016,30-06-2016,01-07-2016,2,6
292,360,Completed,29-06-2016,30-06-2016,02-07-2016,3,9
293,573,Completed,30-06-2016,03-07-2016,02-07-2016,2,7
294,732,Completed,01-07-2016,02-07-2016,02-07-2016,2,7
295,1130,Completed,01-07-2016,04-07-2016,04-07-2016,2,7
296,1245,Completed,04-07-2016,07-07-2016,06-07-2016,2,6
297,1425,Completed,04-07-2016,05-07-2016,06-07-2016,2,7
298,885,Completed,04-07-2016,07-07-2016,07-07-2016,3,9
299,281,Completed,05-07-2016,06-07-2016,07-07-2016,2,6
300,1205,Completed,05-07-2016,08-07-2016,08-07-2016,2,6
301,17,Completed,06-07-2016,09-07-2016,08-07-2016,2,6
302,1375,Completed,06-07-2016,07-07-2016,09-07-2016,2,6
303,36,Completed,07-07-2016,08-07-2016,09-07-2016,2,7
304,230,Completed,07-07-2016,08-07-2016,08-07-2016,2,6
305,705,Completed,07-07-2016,08-07-2016,08-07-2016,2,7
306,424,Completed,09-07-2016,10-07-2016,12-07-2016,2,7
307,695,Completed,09-07-2016,11-07-2016,11-07-2016,2,6
308,156,Completed,11-07-2016,12-07-2016,14-07-2016,2,6
309,211,Completed,11-07-2016,13-07-2016,13-07-2016,2,6
310,627,Completed,12-07-2016,13-07-2016,13-07-2016,1,2
311,1400,Completed,12-07-2016,14-07-2016,13-07-2016,2,6
312,299,Completed,13-07-2016,15-07-2016,16-07-2016,2,6
313,565,Completed,14-07-2016,15-07-2016,15-07-2016,3,9
314,1019,Completed,15-07-2016,17-07-2016,17-07-2016,2,7
315,1263,Completed,16-07-2016,19-07-2016,17-07-2016,2,6
316,670,Completed,17-07-2016,20-07-2016,19-07-2016,2,7
317,795,Completed,17-07-2016,20-07-2016,19-07-2016,2,7
318,1141,Completed,17-07-2016,19-07-2016,20-07-2016,2,7
319,941,Completed,18-07-2016,21-07-2016,21-07-2016,2,6
320,1428,Completed,19-07-2016,20-07-2016,21-07-2016,1,2
321,568,Completed,19-07-2016,22-07-2016,21-07-2016,2,6
322,924,Completed,19-07-2016,22-07-2016,20-07-2016,2,6
323,1243,Completed,19-07-2016,22-07-2016,21-07-2016,2,6
324,480,Completed,20-07-2016,22-07-2016,23-07-2016,2,6
325,848,Completed,20-07-2016,21-07-2016,21-07-2016,2,6
326,1337,Completed,20-07-2016,21-07-2016,22-07-2016,3,9
327,83,Completed,21-07-2016,24-07-2016,22-07-2016,2,6
328,528,Completed,23-07-2016,26-07-2016,25-07-2016,2,6
329,274,Completed,24-07-2016,27-07-2016,26-07-2016,2,6
330,622,Completed,24-07-2016,27-07-2016,27-07-2016,2,6
331,642,Completed,24-07-2016,26-07-2016,25-07-2016,2,6
332,659,Completed,24-07-2016,26-07-2016,26-07-2016,2,7
333,779,Completed,25-07-2016,27-07-2016,26-07-2016,2,6
334,1112,Completed,25-07-2016,28-07-2016,27-07-2016,2,7
335,1193,Completed,25-07-2016,27-07-2016,26-07-2016,2,6
336,1030,Completed,26-07-2016,29-07-2016,27-07-2016,2,7
337,1252,Completed,26-07-2016,27-07-2016,28-07-2016,2,7
338,1333,Completed,28-07-2016,29-07-2016,30-07-2016,1,3
339,1110,Completed,28-07-2016,31-07-2016,29-07-2016,2,7
340,963,Completed,29-07-2016,30-07-2016,31-07-2016,2,7
341,1357,Completed,31-07-2016,03-08-2016,01-08-2016,1,3
342,806,Completed,31-07-2016,01-08-2016,03-08-2016,2,7
343,961,Completed,31-07-2016,02-08-2016,01-08-2016,2,7
344,750,Completed,01-08-2016,03-08-2016,02-08-2016,2,6
345,1299,Completed,01-08-2016,04-08-2016,03-08-2016,2,6
346,584,Completed,01-08-2016,03-08-2016,02-08-2016,3,9
347,1004,Completed,02-08-2016,03-08-2016,05-08-2016,2,6
348,907,Completed,02-08-2016,05-08-2016,04-08-2016,3,9
349,30,Rejected,03-08-2016,03-08-2016,Pending,1,3
350,31,Rejected,03-08-2016,03-08-2016,Pending,1,3
351,1307,Completed,03-08-2016,06-08-2016,04-08-2016,1,2
352,16,Completed,03-08-2016,04-08-2016,06-08-2016,2,7
353,1387,Completed,03-08-2016,06-08-2016,06-08-2016,2,7
354,551,Completed,03-08-2016,05-08-2016,06-08-2016,3,8
355,1011,Completed,03-08-2016,05-08-2016,05-08-2016,3,8
356,1189,Completed,04-08-2016,07-08-2016,06-08-2016,2,6
357,14,Rejected,05-08-2016,05-08-2016,Pending,3,8
358,1042,Completed,05-08-2016,07-08-2016,07-08-2016,2,7
359,441,Completed,07-08-2016,10-08-2016,10-08-2016,2,7
360,1300,Completed,07-08-2016,09-08-2016,10-08-2016,2,6
361,994,Completed,08-08-2016,09-08-2016,11-08-2016,2,6
362,187,Completed,09-08-2016,11-08-2016,11-08-2016,1,2
363,834,Completed,11-08-2016,12-08-2016,13-08-2016,3,8
364,373,Completed,12-08-2016,14-08-2016,13-08-2016,2,6
365,981,Completed,13-08-2016,14-08-2016,15-08-2016,2,6
366,1054,Completed,13-08-2016,14-08-2016,14-08-2016,3,9
367,527,Completed,14-08-2016,15-08-2016,15-08-2016,2,7
368,995,Completed,14-08-2016,15-08-2016,17-08-2016,2,7
369,1285,Completed,15-08-2016,18-08-2016,18-08-2016,1,3
370,758,Completed,15-08-2016,18-08-2016,18-08-2016,2,7
371,891,Completed,15-08-2016,16-08-2016,18-08-2016,2,7
372,132,Completed,16-08-2016,18-08-2016,18-08-2016,2,6
373,337,Completed,16-08-2016,19-08-2016,17-08-2016,2,7
374,1313,Completed,17-08-2016,19-08-2016,18-08-2016,1,2
375,536,Completed,17-08-2016,20-08-2016,20-08-2016,2,7
376,825,Completed,17-08-2016,19-08-2016,18-08-2016,2,6
377,1355,Completed,17-08-2016,19-08-2016,20-08-2016,2,6
378,475,Completed,17-08-2016,20-08-2016,20-08-2016,3,9
379,954,Completed,18-08-2016,21-08-2016,21-08-2016,2,7
380,1156,Completed,19-08-2016,20-08-2016,21-08-2016,2,7
381,1297,Completed,19-08-2016,21-08-2016,21-08-2016,2,7
382,199,Completed,20-08-2016,23-08-2016,23-08-2016,2,6
383,331,Completed,20-08-2016,23-08-2016,22-08-2016,2,7
384,410,Completed,20-08-2016,22-08-2016,23-08-2016,2,7
385,1274,Completed,20-08-2016,23-08-2016,22-08-2016,2,7
386,1362,Completed,20-08-2016,23-08-2016,23-08-2016,2,6
387,451,Completed,20-08-2016,21-08-2016,21-08-2016,3,8
388,1080,Completed,21-08-2016,24-08-2016,23-08-2016,3,8
389,53,Completed,22-08-2016,24-08-2016,25-08-2016,1,3
390,576,Completed,22-08-2016,24-08-2016,25-08-2016,3,9
391,61,Rejected,23-08-2016,23-08-2016,Pending,3,9
392,176,Completed,23-08-2016,26-08-2016,24-08-2016,1,3
393,368,Completed,25-08-2016,26-08-2016,27-08-2016,2,6
394,522,Completed,26-08-2016,28-08-2016,29-08-2016,1,3
395,144,Completed,26-08-2016,27-08-2016,29-08-2016,2,6
396,542,Completed,27-08-2016,30-08-2016,29-08-2016,2,6
397,1437,Completed,28-08-2016,31-08-2016,29-08-2016,2,7
398,447,Completed,29-08-2016,30-08-2016,01-09-2016,1,2
399,1001,Completed,29-08-2016,01-09-2016,01-09-2016,2,7
400,1295,Completed,29-08-2016,30-08-2016,31-08-2016,2,6
401,103,Completed,30-08-2016,02-09-2016,01-09-2016,2,6
402,1335,Completed,30-08-2016,01-09-2016,31-08-2016,2,6
403,578,Completed,31-08-2016,01-09-2016,02-09-2016,1,3
404,396,Completed,31-08-2016,03-09-2016,01-09-2016,2,7
405,603,Completed,31-08-2016,01-09-2016,01-09-2016,2,6
406,1380,Completed,31-08-2016,02-09-2016,01-09-2016,2,7
407,77,Rejected,01-09-2016,01-09-2016,Pending,3,8
408,1071,Completed,01-09-2016,02-09-2016,02-09-2016,1,2
409,416,Completed,01-09-2016,04-09-2016,04-09-2016,2,7
410,1151,Completed,01-09-2016,03-09-2016,02-09-2016,2,6
411,261,Completed,02-09-2016,04-09-2016,04-09-2016,1,3
412,1202,Completed,02-09-2016,04-09-2016,04-09-2016,1,3
413,717,Completed,02-09-2016,05-09-2016,03-09-2016,2,6
414,917,Completed,03-09-2016,06-09-2016,06-09-2016,2,7
415,1265,Completed,03-09-2016,06-09-2016,06-09-2016,2,7
416,1377,Completed,03-09-2016,04-09-2016,06-09-2016,2,7
417,359,Completed,04-09-2016,05-09-2016,06-09-2016,1,3
418,88,Completed,04-09-2016,05-09-2016,05-09-2016,2,6
